mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-3.343871590138295380e-01,3.115289999999999893e+01,5.148729999999999762e+01,7.050010000000000332e+01,8.590760000000000218e+01,9.761869999999998981e+01,1.063479999999999990e+02,1.128680000000000092e+02
-3.214617505469851699e-01,2.747329999999999828e+01,4.736690000000000111e+01,6.736169999999999902e+01,8.446890000000000498e+01,9.783599999999999852e+01,1.078800000000000097e+02,1.153449999999999989e+02
-3.085499477732641660e-01,2.559479999999999933e+01,4.401080000000000325e+01,6.427609999999999957e+01,8.273939999999998918e+01,9.769659999999998945e+01,1.091119999999999948e+02,1.176090000000000089e+02
-2.956381449995431621e-01,2.527100000000000080e+01,4.164220000000000255e+01,6.157229999999999137e+01,8.095560000000000400e+01,9.732940000000000680e+01,1.101050000000000040e+02,1.196869999999999976e+02
-2.827263422258221581e-01,2.562079999999999913e+01,4.027349999999999852e+01,5.951269999999999527e+01,7.936520000000000152e+01,9.689209999999999923e+01,1.109459999999999980e+02,1.216210000000000093e+02
-2.698145394521011542e-01,2.599490000000000123e+01,3.984860000000000468e+01,5.828609999999999758e+01,7.820080000000000098e+01,9.655809999999999604e+01,1.117370000000000090e+02,1.234689999999999941e+02
-2.569027366783786515e-01,2.657270000000000110e+01,4.037139999999999418e+01,5.801780000000000115e+01,7.765919999999999845e+01,9.650039999999999907e+01,1.125939999999999941e+02,1.252980000000000018e+02
-2.439909339046576475e-01,2.808689999999999998e+01,4.191129999999999711e+01,5.877900000000000347e+01,7.788909999999999911e+01,9.687680000000000291e+01,1.136380000000000052e+02,1.271859999999999928e+02
-2.310791311309366436e-01,3.103020000000000067e+01,4.450699999999999790e+01,6.058700000000000330e+01,7.898460000000000036e+01,9.781820000000000448e+01,1.149829999999999899e+02,1.292130000000000223e+02
-2.181673283572156397e-01,3.515680000000000405e+01,4.808139999999999503e+01,6.340509999999999735e+01,8.098770000000000380e+01,9.942159999999999798e+01,1.167310000000000088e+02,1.314579999999999984e+02
-2.052555255834931369e-01,3.970089999999999719e+01,5.245539999999999736e+01,6.715550000000000352e+01,8.389719999999999800e+01,1.017490000000000094e+02,1.189659999999999940e+02,1.339950000000000045e+02
-1.923437228097721330e-01,4.410249999999999915e+01,5.745250000000000057e+01,7.174490000000000123e+01,8.768200000000000216e+01,1.048310000000000031e+02,1.217530000000000001e+02,1.368909999999999911e+02
-1.794319200360511291e-01,4.858039999999999736e+01,6.299730000000000274e+01,7.709159999999999968e+01,9.229680000000000462e+01,1.086739999999999924e+02,1.251340000000000003e+02,1.402010000000000218e+02
-1.665201172623301251e-01,5.385010000000000474e+01,6.911710000000000775e+01,8.313930000000000575e+01,9.769469999999999743e+01,1.132700000000000102e+02,1.291380000000000052e+02,1.439660000000000082e+02
-1.536083144886091212e-01,6.023589999999999378e+01,7.585590000000000543e+01,8.985750000000000171e+01,1.038359999999999985e+02,1.185999999999999943e+02,1.337760000000000105e+02,1.482189999999999941e+02
-1.406965117148866184e-01,6.730039999999999623e+01,8.320959999999999468e+01,9.723600000000000421e+01,1.106939999999999884e+02,1.246460000000000150e+02,1.390519999999999925e+02,1.529819999999999993e+02
-1.277847089411656145e-01,7.443549999999999045e+01,9.116029999999999234e+01,1.052869999999999919e+02,1.182549999999999955e+02,1.313909999999999911e+02,1.449629999999999939e+02,1.582660000000000196e+02
-1.148729061674446106e-01,8.165940000000000509e+01,9.976850000000000307e+01,1.140499999999999972e+02,1.265259999999999820e+02,1.388230000000000075e+02,1.515020000000000095e+02,1.640790000000000077e+02
-1.019611033937236066e-01,8.972160000000000935e+01,1.092210000000000036e+02,1.236010000000000133e+02,1.355250000000000057e+02,1.469370000000000118e+02,1.586599999999999966e+02,1.704189999999999827e+02
-8.904930062000260271e-02,9.950529999999999120e+01,1.197919999999999874e+02,1.340420000000000016e+02,1.452870000000000061e+02,1.557340000000000089e+02,1.664299999999999784e+02,1.772830000000000155e+02
-7.612389215315822077e-02,1.115349999999999966e+02,1.317640000000000100e+02,1.454919999999999902e+02,1.558490000000000180e+02,1.652170000000000130e+02,1.748019999999999925e+02,1.846630000000000109e+02
-6.321208937943721684e-02,1.260819999999999936e+02,1.453790000000000191e+02,1.580610000000000070e+02,1.672549999999999955e+02,1.753900000000000148e+02,1.837669999999999959e+02,1.925460000000000207e+02
-5.030028660571470717e-02,1.434540000000000077e+02,1.608269999999999982e+02,1.718439999999999941e+02,1.795360000000000014e+02,1.862570000000000050e+02,1.933129999999999882e+02,2.009190000000000111e+02
-3.738848383199371017e-02,1.640099999999999909e+02,1.782510000000000048e+02,1.869060000000000059e+02,1.927160000000000082e+02,1.978149999999999977e+02,2.034250000000000114e+02,2.097620000000000005e+02
-2.447668105827270624e-02,1.880229999999999961e+02,1.977279999999999802e+02,2.032760000000000105e+02,2.067990000000000066e+02,2.100529999999999973e+02,2.140840000000000032e+02,2.190529999999999973e+02
-1.156487828455170404e-02,2.155960000000000036e+02,2.192630000000000052e+02,2.209480000000000075e+02,2.217740000000000009e+02,2.229530000000000030e+02,2.252640000000000100e+02,2.287630000000000052e+02
1.346924489169296860e-03,2.466260000000000048e+02,2.427709999999999866e+02,2.398700000000000045e+02,2.376059999999999945e+02,2.364850000000000136e+02,2.369370000000000118e+02,2.388590000000000089e+02
