temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
600,p,4.998353984592752e+19,4.998353984592752e+19,0.575474,218.883,1.76509e+18,20358000000000.0,84565051850.17702,2.4923386929023583,1.27018e-07,4.88753,0.278721,1.57099e-13
700,p,5.0003347671155606e+19,5.0003347671155606e+19,0.576943,241.496,1.67328e+18,22086700000000.0,97586221729.81248,3.0928275935684706,1.27582e-07,4.42381,0.345987,1.42194e-13
800,p,4.997557365534667e+19,4.997557365534667e+19,0.578586,262.74399999999997,1.58635e+18,24098400000000.0,109512735567.43358,3.6355188914594687,1.27484e-07,4.01975,0.41781,1.29206e-13
900,p,4.9979879704309285e+19,4.9979879704309285e+19,0.580378,281.89300000000003,1.50805e+18,27600800000000.0,119835177664.26447,3.9075555743977715,1.26041e-07,3.67973,0.495344,1.18277e-13
300,p,9.999829854683408e+19,9.999829854683408e+19,0.569457,94.082,3.82059e+18,25758700000000.0,33817657145.087162,0.39385905125360166,6.16748e-08,10.1576,0.157278,3.26495e-13
400,p,1.0003167042629445e+20,1.0003167042629445e+20,0.570115,121.658,3.67793e+18,31339800000000.0,54435824402.76453,0.6947820267233936,6.22058e-08,9.69422,0.218162,3.11599e-13
500,p,1.000581526274146e+20,1.000581526274146e+20,0.570947,145.99,3.52185e+18,35759400000000.0,75061471150.185,1.0495348237132753,6.2746e-08,9.10733,0.285934,2.92735e-13
600,p,9.993973628094238e+19,9.993973628094238e+19,0.571949,168.40900000000002,3.35991e+18,39407500000000.0,95292394160.94472,1.4508770283973058,6.31905e-08,8.46924,0.363722,2.72225e-13
700,p,9.996212773554804e+19,9.996212773554804e+19,0.573097,189.727,3.20571e+18,42714600000000.0,115393809562.96057,1.8910552058095453,6.32753e-08,7.85495,0.453019,2.5248e-13
800,p,1.0001100139127382e+20,1.0001100139127382e+20,0.574389,210.49099999999999,3.05732e+18,45886200000000.0,135459029592.16289,2.3616517313207526,6.30348e-08,7.28517,0.553305,2.34166e-13
900,p,9.996148182820363e+19,9.996148182820363e+19,0.575829,230.60999999999999,2.91239e+18,49356200000000.0,154883731334.319,2.8242724966850585,6.25233e-08,6.76401,0.663459,2.17414e-13
300,p,1.999134903486895e+20,1.999134903486895e+20,0.565887,65.2258,6.86348e+18,46498000000000.0,29200023530.840427,0.18839535161194304,3.04817e-08,16.151,0.227426,5.1914e-13
400,p,2.000530063350786e+20,2.000530063350786e+20,0.5664,85.1482,6.65584e+18,57547200000000.0,48256277416.771324,0.3354205064140137,3.08328e-08,15.5658,0.299879,5.00329e-13
500,p,2.000833639802651e+20,2.000833639802651e+20,0.567032,104.59100000000001,6.44023e+18,66371100000000.0,70451461723.41464,0.5307389942566466,3.09491e-08,14.8525,0.380582,4.77401e-13
600,p,1.9993458998860638e+20,1.9993458998860638e+20,0.567788,124.07999999999998,6.20841e+18,74048400000000.0,95583726748.22398,0.7744966271915988,3.09497e-08,14.086,0.47703,4.52764e-13
700,p,1.999378195253283e+20,1.999378195253283e+20,0.56866,143.87300000000002,5.97414e+18,81042500000000.0,123661353252.26407,1.0681179291925205,3.07951e-08,13.3316,0.592566,4.28515e-13
