E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-2.500000000000074607e+00,7.676427633323780420e+00,8.204105662072853633e+00,8.985776443699409199e+00
-2.480000000000075033e+00,5.937395371233168184e+00,6.506276346688077972e+00,7.309159679411647126e+00
-2.460000000000075460e+00,4.553806980593409826e+00,5.953924850102600530e+00,5.821746370922934233e+00
-2.440000000000075886e+00,3.467625042371779820e+00,2.451080793837699723e+00,4.540905439145517697e+00
-2.420000000000076312e+00,2.609064524181368139e+00,1.105491421545773401e+00,3.466632237841740682e+00
-2.400000000000076739e+00,1.923817038710684768e+00,2.104608034167809283e+00,2.587946634292922710e+00
-2.380000000000077165e+00,1.377139618013796252e+00,9.461768818782962942e-01,1.886899372778132689e+00
-2.360000000000077591e+00,9.460317975498870879e-01,6.411774222408050949e-01,1.341602120431985457e+00
-2.340000000000078018e+00,6.137043384879539154e-01,6.346744404781732296e-01,9.282320691099515964e-01
-2.320000000000078444e+00,3.698006988914435134e-01,0.000000000000000000e+00,6.252809648725276004e-01
-2.300000000000078870e+00,2.034124658721591927e-01,0.000000000000000000e+00,4.132046642332368735e-01
-2.280000000000079297e+00,1.007623439975536966e-01,0.000000000000000000e+00,2.810182687266731816e-01
-2.260000000000079723e+00,4.507047262987385478e-02,0.000000000000000000e+00,2.344695697811677304e-01
-2.240000000000080149e+00,2.183517686448878045e-02,0.000000000000000000e+00,3.036604392507848416e-01
-2.220000000000080576e+00,2.880933132312050657e-02,0.000000000000000000e+00,5.632242841854873117e-01
-2.200000000000081002e+00,9.827524253177978564e-02,0.000000000000000000e+00,1.149852519960884889e+00
-2.180000000000081428e+00,3.470649762409690475e-01,0.000000000000000000e+00,2.273736466066521356e+00
-2.160000000000081855e+00,1.065730310555525362e+00,0.000000000000000000e+00,4.210695785712592176e+00
-2.140000000000082281e+00,2.813264746664549065e+00,0.000000000000000000e+00,7.253146537966825846e+00
-2.120000000000082707e+00,6.397660076293299802e+00,0.000000000000000000e+00,1.163154760509355157e+01
-2.100000000000083134e+00,1.259297668974874362e+01,0.000000000000000000e+00,1.741424561366550705e+01
-2.080000000000083560e+00,2.159875085511287196e+01,0.000000000000000000e+00,2.443706318448799664e+01
-2.060000000000083986e+00,3.257982697201224909e+01,1.562205967284536756e+00,3.229116349319492230e+01
-2.040000000000084412e+00,4.379132117565304583e+01,1.011421405273978706e+02,4.039040224670150536e+01
-2.020000000000084839e+00,5.335444894518202830e+01,7.111157313545129455e+01,4.809001453040264806e+01
-2.000000000000085265e+00,6.014332381653169790e+01,1.785138979926958314e+01,5.481422153356248828e+01
-1.980000000000085691e+00,6.410079739240516972e+01,8.891314026795859604e+01,6.014956285256356949e+01
-1.960000000000086118e+00,6.584593547581826556e+01,7.327288363546063010e+01,6.388482477543177396e+01
-1.940000000000086544e+00,6.614831742236118828e+01,9.033272523236435347e+01,6.600588129511643842e+01
-1.920000000000086970e+00,6.565102710514902640e+01,8.722621512765516627e+01,6.666168983902815626e+01
-1.900000000000087397e+00,6.476672775288722050e+01,3.610446655963825435e+01,6.611146856356947410e+01
-1.880000000000087823e+00,6.358593291815027015e+01,8.176664298516257645e+01,6.466594261337804994e+01
-1.860000000000088249e+00,6.187868905502060812e+01,5.166351238255492007e+01,6.263398837694611387e+01
-1.840000000000088676e+00,5.936322067769461341e+01,8.596726461138933928e+01,6.028084179530254971e+01
-1.820000000000089102e+00,5.606812649069592425e+01,4.283685795997574530e+01,5.780872248751779097e+01
