temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
800,p,1.0015188824083726e+20,1.0015188824083726e+20,0.532767,289.653,1.49108e+18,27486700000000.0,125099912778.65173,3.641031124977585,7.69774e-08,9.91621,1.89679,2.70885e-13
900,p,1.0003112124310286e+20,1.0003112124310286e+20,0.534933,292.074,1.38401e+18,41296500000000.0,118066047594.99878,2.5730859233954186,6.34256e-08,9.03197,2.20536,2.4673e-13
300,p,1.999114667193373e+20,1.999114667193373e+20,0.522858,113.468,4.15248e+18,25908700000000.0,53463126117.419525,0.6190560636089752,3.79108e-08,26.8146,0.560612,7.32505e-13
400,p,2.0008346820095905e+20,2.0008346820095905e+20,0.523582,148.66,3.90438e+18,31261300000000.0,86285999944.728,1.104061570628579,3.70726e-08,25.2084,0.867089,6.88627e-13
500,p,1.9994074356727294e+20,1.9994074356727294e+20,0.524559,178.126,3.63775e+18,34823100000000.0,115421703666.91899,1.657257735051144,3.7641e-08,23.4592,1.25892,6.40843e-13
600,p,2.0010542583691074e+20,2.0010542583691074e+20,0.525765,202.932,3.36756e+18,36855000000000.0,138680824015.11743,2.257726072692184,3.88874e-08,21.7274,1.71211,5.93535e-13
700,p,1.999297647492971e+20,1.999297647492971e+20,0.527199,224.203,3.09401e+18,38089200000000.0,155526554906.49808,2.858253479583416,4.05381e-08,20.0301,2.18801,5.47169e-13
800,p,2.0003040391407573e+20,2.0003040391407573e+20,0.528822,241.721,2.8388e+18,40321100000000.0,165868363978.2308,3.2909491849821717,4.19056e-08,18.4694,2.66053,5.04535e-13
900,p,1.9997550982419648e+20,1.9997550982419648e+20,0.530624,254.68099999999998,2.6077e+18,46212100000000.0,169141711149.15967,3.294105657051804,4.20122e-08,17.0392,3.11138,4.65465e-13
300,p,4.9974115583692584e+20,4.9974115583692584e+20,0.518381,80.20949999999999,8.60855e+18,59007700000000.0,55383656427.41164,0.28157506441063607,1.12882e-08,47.9427,1.02643,1.30967e-12
400,p,4.997832413058333e+20,4.997832413058333e+20,0.518967,103.651,8.28336e+18,71428100000000.0,88992525012.41136,0.49836142925493676,1.27905e-08,47.1863,1.52029,1.28901e-12
500,p,5.001638403289962e+20,5.001638403289962e+20,0.519727,124.478,7.87427e+18,79294900000000.0,122010022127.58669,0.7693434390331956,1.39646e-08,45.9768,2.10581,1.25597e-12
