mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-4.694656411254939377e-01,-5.368750000000000355e+00,-2.230129999999999946e+00,1.195960000000000134e+00,4.277759999999999785e+00,6.922270000000000145e+00,9.180920000000000414e+00,1.113560000000000016e+01
-4.565538383517729337e-01,-2.513510000000000133e+00,3.623330000000000162e-01,3.828919999999999657e+00,7.089659999999999407e+00,9.946709999999999496e+00,1.240610000000000035e+01,1.453040000000000020e+01
-4.436284298849285657e-01,6.080640000000000489e-01,3.342249999999999943e+00,6.781890000000000640e+00,1.014740000000000109e+01,1.316399999999999970e+01,1.578739999999999988e+01,1.805509999999999948e+01
-4.307166271112075617e-01,3.697839999999999794e+00,6.504399999999999515e+00,9.941979999999999151e+00,1.338809999999999967e+01,1.653770000000000095e+01,1.930379999999999896e+01,2.169800000000000040e+01
-4.178048243374857806e-01,6.641829999999999679e+00,9.701740000000000919e+00,1.321000000000000085e+01,1.675209999999999866e+01,2.003259999999999863e+01,2.293440000000000012e+01,2.544689999999999941e+01
-4.048794158706414126e-01,9.446460000000000079e+00,1.285440000000000005e+01,1.651279999999999859e+01,2.019059999999999988e+01,2.361840000000000117e+01,2.666100000000000136e+01,2.929110000000000014e+01
-3.919676130969204086e-01,1.218229999999999968e+01,1.593130000000000024e+01,1.980520000000000280e+01,2.366939999999999955e+01,2.727270000000000039e+01,3.046969999999999956e+01,3.322240000000000038e+01
-3.790422046300767622e-01,1.488480000000000025e+01,1.891980000000000217e+01,2.306520000000000081e+01,2.716999999999999815e+01,3.098289999999999722e+01,3.435229999999999961e+01,3.723570000000000135e+01
-3.661304018563542595e-01,1.746509999999999962e+01,2.180499999999999972e+01,2.628880000000000194e+01,3.068919999999999604e+01,3.474589999999999890e+01,3.830659999999999599e+01,4.132959999999999923e+01
-3.532049933895098914e-01,1.976679999999999993e+01,2.457479999999999976e+01,2.948659999999999926e+01,3.423689999999999856e+01,3.856850000000000023e+01,4.233670000000000044e+01,4.550670000000000215e+01
-3.402931906157888875e-01,2.172609999999999886e+01,2.724190000000000111e+01,3.268519999999999470e+01,3.783480000000000132e+01,4.246500000000000341e+01,4.645179999999999865e+01,4.977299999999999613e+01
-3.273813878420678836e-01,2.345059999999999789e+01,2.986070000000000135e+01,3.592739999999999867e+01,4.151380000000000337e+01,4.645649999999999835e+01,5.066570000000000107e+01,5.413739999999999952e+01
-3.144559793752235155e-01,2.513629999999999853e+01,3.252149999999999608e+01,3.926989999999999981e+01,4.531180000000000518e+01,5.056810000000000116e+01,5.499519999999999698e+01,5.861129999999999995e+01
