mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-2.154227894718001579e-01,9.514439999999998676e+00,8.004879999999999995e+00,1.162770000000000081e+01,1.782789999999999964e+01,2.481600000000000250e+01,3.158340000000000103e+01,3.765290000000000248e+01
-2.025109866980791540e-01,7.867069999999999119e+00,8.781610000000000582e+00,1.370539999999999914e+01,2.063080000000000069e+01,2.806430000000000291e+01,3.513470000000000226e+01,4.142229999999999990e+01
-1.895991839243574006e-01,4.560000000000000497e+00,9.237590000000000856e+00,1.601600000000000179e+01,2.386110000000000042e+01,3.177099999999999724e+01,3.910799999999999699e+01,4.555650000000000688e+01
-1.766873811506363967e-01,1.320570000000000022e+00,9.945140000000000313e+00,1.877720000000000056e+01,2.761289999999999978e+01,3.598499999999999943e+01,4.353490000000000038e+01,5.007880000000000109e+01
-1.637755783769153928e-01,-2.185479999999999923e-01,1.156250000000000000e+01,2.226099999999999923e+01,3.200520000000000209e+01,4.076469999999999771e+01,4.844919999999999760e+01,5.501210000000000377e+01
-1.508637756031936394e-01,9.162059999999999649e-01,1.466419999999999924e+01,2.674019999999999797e+01,3.716519999999999868e+01,4.617249999999999943e+01,5.388490000000000180e+01,6.037770000000000437e+01
-1.379519728294726355e-01,5.067390000000000505e+00,1.964270000000000138e+01,3.244340000000000401e+01,4.321010000000000417e+01,5.226790000000000447e+01,5.987400000000000233e+01,6.619480000000000075e+01
-1.250401700557508822e-01,1.220519999999999960e+01,2.669010000000000105e+01,3.952850000000000108e+01,5.023389999999999844e+01,5.910190000000000055e+01,6.644440000000000168e+01,7.247970000000000823e+01
-1.121419729751525068e-01,2.211919999999999931e+01,3.583319999999999794e+01,4.807690000000000197e+01,5.829939999999999856e+01,6.671269999999999811e+01,7.361740000000000350e+01,7.924469999999999459e+01
-9.923017020143150291e-02,3.453419999999999845e+01,4.699470000000000169e+01,5.810459999999999781e+01,6.743800000000000239e+01,7.512340000000000373e+01,8.140699999999999648e+01,8.649770000000000891e+01
-8.631836742771051285e-02,4.920620000000000260e+01,6.005499999999999972e+01,6.958269999999998845e+01,7.765269999999999584e+01,8.434190000000000964e+01,8.981879999999999598e+01,9.424150000000000205e+01
-7.340656465398874564e-02,6.598749999999999716e+01,7.490089999999999293e+01,8.245880000000001075e+01,8.892559999999998865e+01,9.436280000000000712e+01,9.885020000000000095e+01,1.024739999999999895e+02
